Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
1,Semarang,Tugu Muda Semarang,Pura Giri Natha,Wisata Alam Wana Wisata Penggaron,Tugu Muda Semarang,Taman Pandanaran,Lava Bantal,Taman Pandanaran,Taman Pandanaran
2,Surabaya,Pantai Ria Kenjeran,House of Sampoerna,Jembatan Merah,Monumen Bambu Runcing Surabaya,,Monumen Bambu Runcing Surabaya,,
3,Yogyakarta,Sindu Kusuma Edupark (SKE),Tebing Breksi,Hutan Mangrove Kulon Progo,,,,,
4,Yogyakarta,Pantai Drini,Pantai Sundak,Bukit Lintang Sewu,Hutan Pinus Asri,Lava Bantal,Hutan Pinus Asri,Lava Bantal,Lava Bantal
5,Jakarta,Mall Thamrin City,Museum Tekstil,Wisata Agro Edukatif Istana Susu Cibugary,Pasar Tanah Abang,,Pasar Tanah Abang,,
6,Semarang,Flower Farm Setiya Aji,Kampung Tematik Jawi,Museum Kereta Ambarawa,Desa Wisata Lembah Kalipancur,,Desa Wisata Lembah Kalipancur,,
7,Surabaya,Monumen Jalesveva Jayamahe,Patung Sura dan Buaya,Kenjeran Park,Kebun Binatang Surabaya,,Kebun Binatang Surabaya,,
8,Yogyakarta,Taman Pelangi Jogja,Monumen Sanapati,Air Terjun Kedung Pedut,,,,,
9,Yogyakarta,Wisata Kalibiru,Desa Wisata Sungai Code Jogja Kota,Pantai Jogan,,,,,
10,Semarang,Grand Maerakaca,Pantai Marina,Kampoeng Djadhoel Semarang,Brown Canyon,Semarang Gallery,Brown Canyon,Semarang Gallery,Semarang Gallery
11,Jakarta,Museum Seni Rupa dan Kramik,Taman Lapangan Banteng,Museum Perangko,Museum Layang-layang,,Museum Layang-layang,,
12,Surabaya,Klenteng Sanggar Agung,Ciputra Waterpark,Museum TNI AL Loka Jala Crana,Taman Air Mancur Menari Kenjeran,,Taman Air Mancur Menari Kenjeran,,
13,Bandung,Monumen Perjuangan Rakyat Jawa Barat,Jendela Alam,Trans Studio Bandung,Lawangwangi Creative Space,Curug Malela,,Curug Malela,Curug Malela
14,Semarang,Gua Maria Kerep Ambarawa,La Kana Chapel,GPIB Immanuel Semarang (Gereja Blenduk),Lawang Sewu,Brown Canyon,Lawang Sewu,Brown Canyon,Pulau Pramuka
15,Yogyakarta,Jurang Tembelan Kanigoro,Monumen Sanapati,Pantai Depok Jogja,Kampung Wisata Kadipaten,,Kampung Wisata Kadipaten,,
16,Semarang,Wisata Lereng Kelir, Pantai Cipta,Wisata Alam Wana Wisata Penggaron,Lawang Sewu,Grand Maerakaca,Lawang Sewu,,
17,Jakarta,Museum Satria Mandala,Museum Sumpah Pemuda,Museum Fatahillah,Taman Ayodya,,Taman Ayodya,,
